Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker
2020-06-18 00:00:00-04:00,64.31220470208503,65.72565885764894,64.09437920368283,65.47394561767578,769500,0,0,0,ARKK
2020-06-19 00:00:00-04:00,66.55823825467981,67.04229817,65.44006103378808,65.86119079589844,996800,0,0,0,ARKK
2020-06-22 00:00:00-04:00,66.47111276128186,69.15280150857288,66.40333728,69.01726531982422,1644100,0,0,0,ARKK
2020-06-23 00:00:00-04:00,70.21773372373553,71.10743465,69.26898037746663,70.09188079833984,1904500,0,0,0,ARKK
2020-06-24 00:00:00-04:00,69.34641941822245,70.14996063421022,66.43238410450994,67.09070587158203,1804100,0,0,0,ARKK
2020-06-25 00:00:00-04:00,66.93580018960076,68.50415687327256,66.22907689,68.32989501953125,1132400,0,0,0,ARKK
2020-06-26 00:00:00-04:00,68.09754439803248,68.79459184821918,66.7324993,66.77122497558594,1179300,0,0,0,ARKK
2020-06-29 00:00:00-04:00,67.13910518623294,67.35209271936748,65.57075587163818,67.14878845214844,1473700,0,0,0,ARKK
2020-06-30 00:00:00-04:00,67.04228924532435,69.15279048741087,66.97258598595799,69.03661346435547,1330800,0,0,0,ARKK
2020-07-01 00:00:00-04:00,69.19152488813222,71.64086685699671,69.0559887,71.15680694580078,1650700,0,0,0,ARKK
2020-07-02 00:00:00-04:00,73.48998074880393,73.49965662918244,72.20721752650147,72.55090332,2168700,0,0,0,ARKK
2020-07-06 00:00:00-04:00,74.80661576157556,76.52212716718849,74.06116674,75.27131652832031,1972800,0,0,0,ARKK
2020-07-07 00:00:00-04:00,75.61015439505864,78.02077061,75.07769294033477,76.32656097,2251700,0,0,0,ARKK
2020-07-08 00:00:00-04:00,77.46894106004378,78.65004836602643,77.10105820497039,78.14662933,2230100,0,0,0,ARKK
2020-07-09 00:00:00-04:00,79.13411056311259,79.31805568910295,76.50082351936129,78.49515533447266,2033500,0,0,0,ARKK
2020-07-10 00:00:00-04:00,78.36929545719643,78.76622812360439,77.61416318918592,78.31121063232422,1575900,0,0,0,ARKK
2020-07-13 00:00:00-04:00,80.35394279,81.84871850687536,75.51334382480864,75.64888000488281,3642600,0,0,0,ARKK
2020-07-14 00:00:00-04:00,75.61015773628633,76.96552698431289,72.61867099,76.30720520019531,2042200,0,0,0,ARKK
2020-07-15 00:00:00-04:00,77.79811701189016,78.53389021590539,76.03613906086834,78.34994506835938,2728700,0,0,0,ARKK
2020-07-16 00:00:00-04:00,77.06233666,77.90460356991358,76.39724176918835,77.21723937988281,1431900,0,0,0,ARKK
2020-07-17 00:00:00-04:00,77.74002123399367,78.28216594684011,77.10009104630564,78.09822082519531,1265100,0,0,0,ARKK
2020-07-20 00:00:00-04:00,78.65004964,81.56409227,78.53387998946772,81.35110473632812,1750400,0,0,0,ARKK
2020-07-21 00:00:00-04:00,82.24177553124953,82.24177553124953,79.64721412524695,79.88924407958984,1796000,0,0,0,ARKK
2020-07-22 00:00:00-04:00,80.36363421,80.91546225051187,79.24061159,79.89893341064453,1181600,0,0,0,ARKK
2020-07-23 00:00:00-04:00,80.25713347722905,80.92513112146229,77.04297601344796,77.90460205078125,1794500,0,0,0,ARKK
2020-07-24 00:00:00-04:00,76.38465499355884,77.27242068795711,74.93247526891388,76.31688690185547,1953000,0,0,0,ARKK
2020-07-27 00:00:00-04:00,77.25597024477683,79.51168397698319,76.79223703533849,79.35678864,2314000,0,0,0,ARKK
2020-07-28 00:00:00-04:00,79.01794095909133,79.03730010523235,76.75253677986002,76.82030487060547,1182700,0,0,0,ARKK
2020-07-29 00:00:00-04:00,77.44958877782473,78.03045921642475,77.32373585508138,77.51735687,1098900,0,0,0,ARKK
2020-07-30 00:00:00-04:00,76.88807706135835,78.23376306803871,76.28784747879689,77.83683776855469,1015700,0,0,0,ARKK
2020-07-31 00:00:00-04:00,79.08571829,79.22125448,76.82999710986964,77.80780029296875,1035600,0,0,0,ARKK
2020-08-03 00:00:00-04:00,78.71782139905427,81.31238285160153,78.61132762633953,81.01226806640625,2924800,0,0,0,ARKK
2020-08-04 00:00:00-04:00,81.22525452033824,81.57377825,80.47979812,81.51568603515625,2081000,0,0,0,ARKK
2020-08-05 00:00:00-04:00,82.22242310898491,83.09373249310885,81.77708884291461,82.88074493408203,2024600,0,0,0,ARKK
2020-08-06 00:00:00-04:00,82.89041937389332,83.36479600455502,81.69285566211498,82.16432953,1552200,0,0,0,ARKK
2020-08-07 00:00:00-04:00,81.89324904531794,82.11591984572068,78.65004924369144,79.86019897460938,1983100,0,0,0,ARKK
2020-08-10 00:00:00-04:00,81.96102487329748,82.18368828848958,80.13127168,80.80895996,1680900,0,0,0,ARKK
2020-08-11 00:00:00-04:00,80.66374396590763,81.03065925437836,78.79043445783333,78.97921752929688,1588600,0,0,0,ARKK
2020-08-12 00:00:00-04:00,80.28617975171763,81.60185576,79.83116223875443,81.27365875,1467300,0,0,0,ARKK
2020-08-13 00:00:00-04:00,81.81580546354553,83.63586800844638,81.81580546354553,83.02595520019531,1619000,0,0,0,ARKK
2020-08-14 00:00:00-04:00,83.33575516817508,83.54874270854711,81.66768514615414,82.01911163330078,1060400,0,0,0,ARKK
2020-08-17 00:00:00-04:00,82.66775540934299,84.95251890175372,82.59998731364303,84.83634185791016,1712200,0,0,0,ARKK
2020-08-18 00:00:00-04:00,85.98840443419209,86.12394062175112,84.52073587021852,85.75605773925781,1900500,0,0,0,ARKK
2020-08-19 00:00:00-04:00,85.80445931240604,87.49866904330975,85.37364628,86.02713012695312,1990600,0,0,0,ARKK
2020-08-20 00:00:00-04:00,85.49466683423033,87.12110857744416,85.24296097583168,86.62737274169922,1458900,0,0,0,ARKK
2020-08-21 00:00:00-04:00,87.13078037247207,87.53738890819668,86.80355836793672,86.96620178222656,1887800,0,0,0,ARKK
2020-08-24 00:00:00-04:00,88.97021182204067,88.97021182204067,85.07836605808122,85.63987731933594,2622800,0,0,0,ARKK
2020-08-25 00:00:00-04:00,85.63987542199447,86.72610741779053,84.61367081194354,86.64672088623047,1377400,0,0,0,ARKK
2020-08-26 00:00:00-04:00,86.8500278,89.18320009814832,86.84906020849822,88.48615264892578,1881000,0,0,0,ARKK
2020-08-27 00:00:00-04:00,89.07670989979295,89.07670989979295,86.646727,87.87623596191406,1596900,0,0,0,ARKK
2020-08-28 00:00:00-04:00,88.60232571444273,90.01578719993475,88.38934555112132,89.41555023,1503800,0,0,0,ARKK
2020-08-31 00:00:00-04:00,89.89960593039709,92.62970349255752,89.55108220874529,92.29086303710938,3546200,0,0,0,ARKK
2020-09-01 00:00:00-04:00,93.37515822934532,94.18838275853446,92.38187368641812,94.11093139648438,3755400,0,0,0,ARKK
2020-09-02 00:00:00-04:00,95.74705747668989,95.74705747668989,90.92581723104983,93.87858581542969,4156100,0,0,0,ARKK
2020-09-03 00:00:00-04:00,91.14849022249605,91.19689178587996,86.02713505615117,86.94684600830078,4679700,0,0,0,ARKK
2020-09-04 00:00:00-04:00,86.34660951278511,87.30504607093586,78.73718710114045,84.27483367919922,5475800,0,0,0,ARKK
2020-09-08 00:00:00-04:00,80.15063749000905,83.34542833,79.49231574401885,80.45075225830078,3332700,0,0,0,ARKK
2020-09-09 00:00:00-04:00,82.72583645515263,84.12961463926952,81.47890355129525,83.81981658935547,3779300,0,0,0,ARKK
2020-09-10 00:00:00-04:00,85.19455134643177,86.54992068599509,82.29019164143978,83.10340881347656,3581600,0,0,0,ARKK
2020-09-11 00:00:00-04:00,84.02311551989453,84.52653454915402,81.22524998230571,82.62902069091797,2958300,0,0,0,ARKK
2020-09-14 00:00:00-04:00,83.89726985842682,86.43373914166722,83.82949437811473,86.24979400634766,2642200,0,0,0,ARKK
2020-09-15 00:00:00-04:00,88.09890928655899,89.74471013195037,87.51803883443077,88.90245056152344,2553800,0,0,0,ARKK
2020-09-16 00:00:00-04:00,89.16383245339154,90.33525652965785,88.45710913286646,88.71849822998047,1948300,0,0,0,ARKK
2020-09-17 00:00:00-04:00,85.55178280376738,87.47930674831869,85.24295235,86.45310211,1758100,0,0,0,ARKK
2020-09-18 00:00:00-04:00,87.60516399556438,87.96724135472866,84.91379196863143,87.01461029052734,1601200,0,0,0,ARKK
2020-09-21 00:00:00-04:00,85.57211402740687,87.80846854547428,84.08120855,87.69229888916016,2325600,0,0,0,ARKK
2020-09-22 00:00:00-04:00,87.91495325,88.86371386586953,86.09876110669289,88.78626251220703,1592000,0,0,0,ARKK
2020-09-23 00:00:00-04:00,88.20539553503794,88.56360251992089,84.56526302,85.14613342285156,1764300,0,0,0,ARKK
